position,link,name,points,stars,division,age,won,lost,draw,last six,stance,residence
1,/en/boxer/348759,Saul Alvarez,997,100,middleweight,27,49,1,2,WWWWWD,orthodox,"Guadalajara, Jalisco, Mexico"
2,/en/boxer/447121,Terence Crawford,993,100,super lightweight,29,32,0,0,WWWWWW,orthodox,"Omaha, Nebraska, USA"
3,/en/boxer/356831,Gennady Golovkin,868,100,middleweight,35,37,0,1,WWWWWD,orthodox,"Los Angeles, California, USA"
4,/en/boxer/659771,Vasyl Lomachenko,793,100,super featherweight,29,9,1,0,WWWWWW,southpaw,"Oxnard, California, USA"
5,/en/boxer/528191,Wisaksil Wangek,769,100,super flyweight,30,44,4,1,WWWWWW,southpaw,"Si Sa Ket, Thailand"
6,/en/boxer/659461,Anthony Joshua,705,100,heavyweight,27,19,0,0,WWWWWW,orthodox,"Watford, Hertfordshire, United Kingdom"
7,/en/boxer/611983,Luis Nery,645,100,bantamweight,22,24,0,0,WWWWWW,southpaw,"Tijuana, Baja California, Mexico"
8,/en/boxer/635000,Jeff Horn,638,100,welterweight,29,17,0,1,WWWWWW,orthodox,"Brisbane, Queensland, Australia"
9,/en/boxer/553222,Miguel Berchelt,635,100,super featherweight,25,32,1,0,WWWWWW,orthodox,"Merida, Yucatán, Mexico"
10,/en/boxer/426053,Keith Thurman,628,100,welterweight,28,28,0,0,WWWWWW,orthodox,"Clearwater, Florida, USA"
11,/en/boxer/374624,Leo Santa Cruz,587,100,featherweight,29,33,1,1,WWWWLW,orthodox,"Rosemead, California, USA"
12,/en/boxer/372003,Adonis Stevenson,582,100,light heavyweight,40,29,1,0,WWWWWW,southpaw,"Blainville, Quebec, Canada"
13,/en/boxer/6129,Manny Pacquiao,582,100,welterweight,38,59,7,2,WWLWWL,southpaw,"General Santos City, Cotabato del Sur, Philippines"
14,/en/boxer/659772,Oleksandr Usyk,556,100,cruiserweight,30,13,0,0,WWWWWW,southpaw,"Kiev, Ukraine"
15,/en/boxer/499601,Carl Frampton,549,100,featherweight,30,23,1,0,WWWWWL,orthodox,"Belfast, Northern Ireland, United Kingdom"
16,/en/boxer/429442,Danny Garcia,505,100,welterweight,29,33,1,0,WWWWWL,orthodox,"Philadelphia, Pennsylvania, USA"
17,/en/boxer/457231,Erislandy Lara,474,100,super welterweight,34,24,2,2,LWWWWW,southpaw,"Houston, Texas, USA"
18,/en/boxer/628407,Naoya Inoue,464,100,super flyweight,24,14,0,0,WWWWWW,orthodox,"Yokohama, Kanagawa, Japan"
19,/en/boxer/629465,Errol Spence Jr,460,100,welterweight,27,22,0,0,WWWWWW,southpaw,"Desoto, Texas, USA"
20,/en/boxer/479775,Gary Russell Jr,458,100,featherweight,29,28,1,0,WLWWWW,southpaw,"Capitol Heights, Maryland, USA"
